user_id,ip_address,timestamp,success
gildong.hong,192.168.1.100,2023-11-20T10:05:00,TRUE
younghee.kim,192.168.1.101,2023-11-20T10:05:15,FALSE
gildong.hong,192.168.1.100,2023-11-20T10:05:30,TRUE
bad.actor,203.0.113.5,2023-11-20T10:06:00,FALSE
bad.actor,203.0.113.5,2023-11-20T10:06:15,FALSE
bad.actor,203.0.113.5,2023-11-20T10:06:30,FALSE
younghee.kim,192.168.1.101,2023-11-20T10:07:00,TRUE
chulsoo.park,192.168.1.102,2023-11-20T10:08:45,TRUE
minho.lee,192.168.1.103,2023-11-20T10:09:30,TRUE
bad.actor,203.0.113.5,2023-11-20T10:06:45,FALSE
sujin.kang,192.168.1.104,2023-11-20T10:10:00,TRUE
gildong.hong,192.168.1.100,2023-11-20T10:11:15,TRUE
hacker123,45.76.123.45,2023-11-20T10:12:00,FALSE
hacker123,45.76.123.45,2023-11-20T10:12:10,FALSE
hacker123,45.76.123.45,2023-11-20T10:12:20,FALSE
jiwon.choi,192.168.1.105,2023-11-20T10:13:00,TRUE
minho.lee,192.168.1.103,2023-11-20T10:14:30,TRUE
admin,192.168.1.1,2023-11-20T10:15:00,TRUE
test.user,192.168.1.106,2023-11-20T10:16:20,FALSE
test.user,192.168.1.106,2023-11-20T10:16:35,TRUE
sujin.kang,192.168.1.104,2023-11-20T10:17:00,TRUE
bad.actor,203.0.113.5,2023-11-20T10:07:00,FALSE
malicious,198.51.100.23,2023-11-20T10:18:00,FALSE
malicious,198.51.100.23,2023-11-20T10:18:15,FALSE
malicious,198.51.100.23,2023-11-20T10:18:30,FALSE
malicious,198.51.100.23,2023-11-20T10:18:45,FALSE
chulsoo.park,192.168.1.102,2023-11-20T10:19:00,TRUE
younghee.kim,192.168.1.101,2023-11-20T10:20:00,TRUE
gildong.hong,192.168.1.100,2023-11-20T10:21:30,TRUE
jiwon.choi,192.168.1.105,2023-11-20T10:22:15,TRUE
scanner,185.220.101.67,2023-11-20T10:23:00,FALSE
scanner,185.220.101.67,2023-11-20T10:23:05,FALSE
admin,192.168.1.1,2023-11-20T10:24:00,TRUE
minho.lee,192.168.1.103,2023-11-20T10:25:30,TRUE
newbie.user,192.168.1.107,2023-11-20T10:26:00,FALSE
newbie.user,192.168.1.107,2023-11-20T10:26:45,TRUE
sujin.kang,192.168.1.104,2023-11-20T10:27:00,TRUE
attacker,101.102.103.104,2023-11-20T10:28:00,FALSE
attacker,101.102.103.104,2023-11-20T10:28:10,FALSE
attacker,101.102.103.104,2023-11-20T10:28:20,FALSE
gildong.hong,192.168.1.100,2023-11-20T10:29:00,TRUE
chulsoo.park,192.168.1.102,2023-11-20T10:30:15,TRUE
younghee.kim,192.168.1.101,2023-11-20T10:31:30,TRUE
jiwon.choi,192.168.1.105,2023-11-20T10:32:45,TRUE
guest,192.168.1.108,2023-11-20T10:33:00,FALSE
guest,192.168.1.108,2023-11-20T10:33:30,TRUE
minho.lee,192.168.1.103,2023-11-20T10:34:00,TRUE
admin,192.168.1.1,2023-11-20T10:35:00,TRUE
sujin.kang,192.168.1.104,2023-11-20T10:36:15,TRUE
